entry_time,exit_time,entry_price,exit_price,quantity,pnl,entry_reason,exit_reason,session
2025-08-07 16:00:00-04:00,2025-08-07 23:55:00-04:00,23504.25,23553.25,7,647.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23554.75),overnight
2025-08-10 20:10:00-04:00,2025-08-11 00:25:00-04:00,23733.0,23741.0,10,105.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23744.13),overnight
2025-08-11 02:45:00-04:00,2025-08-11 03:25:00-04:00,23748.25,23742.0,10,-180.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23744.13),overnight
2025-08-11 06:25:00-04:00,2025-08-11 06:30:00-04:00,23738.0,23729.5,10,-225.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23735.13),overnight
2025-08-12 00:40:00-04:00,2025-08-12 01:00:00-04:00,23668.25,23618.75,10,-1045.0,Long entry: UT Bot buy signal,Max risk stop: loss $1045.00 >= $910.42,overnight
2025-08-12 03:10:00-04:00,2025-08-12 03:15:00-04:00,23667.25,23658.5,10,-230.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23659.70),overnight
2025-08-12 03:55:00-04:00,2025-08-12 04:10:00-04:00,23665.75,23651.75,10,-335.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23659.70),overnight
2025-08-13 19:45:00-04:00,2025-08-13 19:50:00-04:00,23956.25,23952.75,10,-125.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23956.29),overnight
2025-08-14 04:00:00-04:00,2025-08-14 04:35:00-04:00,23934.75,23928.5,10,-180.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23929.33),overnight
2025-08-14 06:35:00-04:00,2025-08-14 06:40:00-04:00,23934.0,23927.75,10,-180.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23929.33),overnight
2025-08-14 06:55:00-04:00,2025-08-14 08:30:00-04:00,23935.0,23822.0,10,-2315.0,Long entry: UT Bot buy signal,Max risk stop: loss $2315.00 >= $847.57,overnight
2025-08-14 19:10:00-04:00,2025-08-14 19:30:00-04:00,23901.25,23896.5,9,-135.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23902.36),overnight
2025-08-14 19:45:00-04:00,2025-08-14 19:50:00-04:00,23900.75,23895.0,9,-153.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23902.36),overnight
2025-08-17 18:15:00-04:00,2025-08-17 23:30:00-04:00,23838.0,23860.75,9,360.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23862.91),overnight
2025-08-19 03:05:00-04:00,2025-08-19 03:10:00-04:00,23761.5,23757.75,9,-117.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23763.61),overnight
2025-08-19 03:50:00-04:00,2025-08-19 04:05:00-04:00,23768.75,23763.5,9,-144.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23763.61),overnight
2025-08-19 04:30:00-04:00,2025-08-19 06:45:00-04:00,23768.75,23768.75,9,-49.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23770.75),overnight
2025-08-20 02:40:00-04:00,2025-08-20 07:35:00-04:00,23385.5,23393.25,9,90.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23403.57),overnight
2025-08-20 20:35:00-04:00,2025-08-20 20:50:00-04:00,23304.0,23284.0,9,-409.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23284.53),overnight
2025-08-21 18:15:00-04:00,2025-08-21 18:20:00-04:00,23241.5,23236.5,9,-139.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23236.92),overnight
2025-08-21 18:45:00-04:00,2025-08-21 19:30:00-04:00,23240.5,23233.0,9,-184.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23236.92),overnight
2025-08-22 03:15:00-04:00,2025-08-22 09:25:00-04:00,23173.25,23264.75,9,1597.5,Long entry: UT Bot buy signal,End of day exit,overnight
2025-08-27 02:25:00-04:00,2025-08-27 02:50:00-04:00,23614.0,23604.0,10,-255.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23604.91),overnight
2025-08-27 03:10:00-04:00,2025-08-27 03:15:00-04:00,23604.5,23595.0,10,-245.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23604.91),overnight
2025-08-28 02:20:00-04:00,2025-08-28 06:40:00-04:00,23562.25,23599.75,9,625.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23604.24),overnight
2025-08-28 06:55:00-04:00,2025-08-28 07:05:00-04:00,23611.5,23597.25,10,-340.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23604.24),overnight
2025-08-31 18:10:00-04:00,2025-08-31 21:50:00-04:00,23504.75,23509.25,10,35.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23516.73),overnight
2025-09-01 02:45:00-04:00,2025-09-01 07:25:00-04:00,23447.75,23465.25,9,265.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23466.73),overnight
2025-09-04 00:10:00-04:00,2025-09-04 01:20:00-04:00,23488.25,23467.0,10,-480.0,Long entry: UT Bot buy signal,Hard stop hit at 23469.29,overnight
2025-09-04 03:10:00-04:00,2025-09-04 07:50:00-04:00,23486.75,23488.0,10,-30.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23492.58),overnight
2025-09-05 04:10:00-04:00,2025-09-05 07:55:00-04:00,23771.5,23769.25,9,-90.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23772.93),overnight
2025-09-07 18:40:00-04:00,2025-09-07 22:15:00-04:00,23729.25,23739.5,9,135.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23746.86),overnight
2025-09-08 02:10:00-04:00,2025-09-08 08:10:00-04:00,23755.75,23747.0,10,-230.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23755.93),overnight
2025-09-08 16:05:00-04:00,2025-09-08 16:20:00-04:00,23809.25,23799.0,9,-234.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23799.07),overnight
2025-09-08 18:05:00-04:00,2025-09-08 21:20:00-04:00,23813.25,23796.25,9,-355.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23799.07),overnight
2025-09-10 06:40:00-04:00,2025-09-10 09:25:00-04:00,23925.25,23998.0,9,1260.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-09-10 18:50:00-04:00,2025-09-10 20:10:00-04:00,23892.5,23883.0,10,-245.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23885.16),overnight
2025-09-10 20:30:00-04:00,2025-09-11 00:20:00-04:00,23893.75,23888.0,10,-170.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (23897.95),overnight
2025-09-11 02:25:00-04:00,2025-09-11 08:30:00-04:00,23905.5,23882.75,10,-510.0,Long entry: UT Bot buy signal,Hard stop hit at 23890.13,overnight
2025-09-12 03:00:00-04:00,2025-09-12 03:40:00-04:00,24027.5,24009.0,9,-382.5,Long entry: UT Bot buy signal,Hard stop hit at 24012.57,overnight
2025-09-12 06:35:00-04:00,2025-09-12 07:05:00-04:00,24016.75,24013.5,9,-108.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24016.20),overnight
2025-09-12 16:20:00-04:00,2025-09-15 04:00:00-04:00,24113.0,24326.0,9,3784.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24367.15),overnight
2025-09-17 02:55:00-04:00,2025-09-17 04:10:00-04:00,24532.0,24527.75,10,-140.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24529.71),overnight
2025-09-18 03:05:00-04:00,2025-09-18 08:55:00-04:00,24625.25,24690.0,10,1240.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24707.70),overnight
2025-09-18 18:10:00-04:00,2025-09-18 18:30:00-04:00,24739.75,24732.25,10,-205.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24732.86),overnight
2025-09-18 19:00:00-04:00,2025-09-18 20:10:00-04:00,24736.0,24723.75,10,-300.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24732.86),overnight
2025-09-19 06:20:00-04:00,2025-09-19 09:25:00-04:00,24715.75,24768.25,10,995.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-09-22 04:20:00-04:00,2025-09-22 04:45:00-04:00,24812.5,24803.0,10,-245.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24807.37),overnight
2025-09-22 19:00:00-04:00,2025-09-23 00:25:00-04:00,24993.0,24988.5,10,-145.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24989.17),overnight
2025-09-23 03:20:00-04:00,2025-09-23 03:25:00-04:00,24987.0,24988.5,10,-25.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24989.17),overnight
2025-09-23 03:35:00-04:00,2025-09-23 07:10:00-04:00,25000.0,24976.5,10,-525.0,Long entry: UT Bot buy signal,Hard stop hit at 24980.11,overnight
2025-09-24 00:50:00-04:00,2025-09-24 03:10:00-04:00,24852.0,24853.25,10,-30.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24861.51),overnight
2025-09-24 03:45:00-04:00,2025-09-24 07:40:00-04:00,24885.25,24880.5,10,-150.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24883.40),overnight
2025-09-24 16:05:00-04:00,2025-09-25 00:15:00-04:00,24749.75,24773.75,10,425.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24774.77),overnight
2025-09-25 04:05:00-04:00,2025-09-25 04:45:00-04:00,24755.5,24730.75,10,-550.0,Long entry: UT Bot buy signal,Hard stop hit at 24730.99,overnight
2025-09-25 20:15:00-04:00,2025-09-25 20:25:00-04:00,24621.75,24614.75,10,-195.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24617.49),overnight
2025-09-29 02:15:00-04:00,2025-09-29 07:10:00-04:00,24833.0,24861.0,10,505.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24866.90),overnight
2025-09-30 02:15:00-04:00,2025-09-30 02:40:00-04:00,24846.25,24838.75,10,-205.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24842.54),overnight
2025-10-01 04:45:00-04:00,2025-10-01 09:25:00-04:00,24721.5,24763.75,10,790.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-02 16:10:00-04:00,2025-10-02 16:20:00-04:00,25119.75,25115.0,10,-150.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25116.99),overnight
2025-10-02 19:30:00-04:00,2025-10-03 01:55:00-04:00,25118.75,25171.0,10,990.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25172.94),overnight
2025-10-03 02:15:00-04:00,2025-10-03 06:30:00-04:00,25178.0,25171.0,10,-195.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25172.94),overnight
2025-10-05 18:10:00-04:00,2025-10-06 00:00:00-04:00,25032.75,25076.0,10,810.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25076.64),overnight
2025-10-06 04:00:00-04:00,2025-10-06 09:25:00-04:00,25096.75,25214.25,10,2295.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-07 00:10:00-04:00,2025-10-07 02:15:00-04:00,25177.25,25164.5,10,-310.0,Long entry: UT Bot buy signal,Hard stop hit at 25165.18,overnight
2025-10-08 03:30:00-04:00,2025-10-08 07:20:00-04:00,25069.25,25075.5,10,70.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25075.54),overnight
2025-10-09 03:10:00-04:00,2025-10-09 03:25:00-04:00,25345.0,25333.75,10,-280.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25341.11),overnight
2025-10-10 02:00:00-04:00,2025-10-10 02:35:00-04:00,25346.5,25323.5,10,-515.0,Long entry: UT Bot buy signal,Hard stop hit at 25327.95,overnight
2025-10-10 04:15:00-04:00,2025-10-10 04:20:00-04:00,25329.25,25326.75,10,-105.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25329.30),overnight
2025-10-10 04:40:00-04:00,2025-10-10 05:00:00-04:00,25335.5,25320.5,10,-355.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25329.30),overnight
2025-10-12 18:05:00-04:00,2025-10-12 23:40:00-04:00,24688.0,24796.25,2,422.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24796.46),overnight
2025-10-13 00:30:00-04:00,2025-10-13 04:25:00-04:00,24801.0,24855.75,10,1040.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24857.61),overnight
2025-10-13 04:55:00-04:00,2025-10-13 05:05:00-04:00,24874.5,24857.25,10,-400.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24857.61),overnight
2025-10-13 06:35:00-04:00,2025-10-13 06:40:00-04:00,24865.25,24841.5,10,-530.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24857.61),overnight
2025-10-15 00:15:00-04:00,2025-10-15 09:25:00-04:00,24817.75,25001.75,10,3625.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-15 16:05:00-04:00,2025-10-15 20:30:00-04:00,24945.25,24895.25,7,-738.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24910.20),overnight
2025-10-16 03:45:00-04:00,2025-10-16 08:10:00-04:00,25011.25,25031.75,10,355.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25039.13),overnight
2025-10-19 20:00:00-04:00,2025-10-19 20:05:00-04:00,25005.0,25002.0,10,-115.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25005.93),overnight
2025-10-19 20:45:00-04:00,2025-10-20 04:40:00-04:00,25031.75,25088.25,10,1075.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25090.85),overnight
2025-10-20 16:10:00-04:00,2025-10-20 23:45:00-04:00,25316.75,25325.0,10,110.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25338.20),overnight
2025-10-22 00:00:00-04:00,2025-10-22 03:05:00-04:00,25309.5,25289.5,10,-455.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25290.27),overnight
2025-10-22 03:30:00-04:00,2025-10-22 04:05:00-04:00,25297.0,25281.75,10,-360.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25290.27),overnight
2025-10-22 06:45:00-04:00,2025-10-22 06:55:00-04:00,25301.0,25286.5,10,-345.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25288.79),overnight
2025-10-22 18:10:00-04:00,2025-10-22 19:50:00-04:00,25039.5,25011.75,10,-610.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25017.56),overnight
2025-10-22 20:25:00-04:00,2025-10-23 00:10:00-04:00,25027.25,25072.5,10,850.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25074.88),overnight
2025-10-23 00:25:00-04:00,2025-10-23 00:30:00-04:00,25080.75,25066.5,10,-340.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25074.88),overnight
2025-10-24 03:35:00-04:00,2025-10-24 03:45:00-04:00,25359.25,25337.75,10,-485.0,Long entry: UT Bot buy signal,Hard stop hit at 25339.37,overnight
2025-10-24 04:50:00-04:00,2025-10-24 09:25:00-04:00,25356.75,25466.75,10,2145.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-26 18:05:00-04:00,2025-10-27 04:25:00-04:00,25723.5,25776.75,7,707.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25778.12),overnight
2025-10-27 04:40:00-04:00,2025-10-27 07:45:00-04:00,25792.75,25814.25,10,375.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25816.91),overnight
2025-10-27 20:40:00-04:00,2025-10-27 20:45:00-04:00,25982.5,25978.75,10,-130.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25983.06),overnight
2025-10-28 06:20:00-04:00,2025-10-28 09:25:00-04:00,25987.25,26051.5,10,1230.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-28 18:05:00-04:00,2025-10-28 18:45:00-04:00,26181.75,26173.75,10,-215.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26174.04),overnight
2025-10-28 19:20:00-04:00,2025-10-28 20:00:00-04:00,26186.0,26172.5,10,-325.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26174.04),overnight
2025-10-28 20:25:00-04:00,2025-10-28 20:50:00-04:00,26185.5,26172.5,10,-315.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26174.04),overnight
2025-10-29 16:00:00-04:00,2025-10-29 16:05:00-04:00,26331.25,26215.0,4,-952.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26263.40),overnight
2025-10-29 20:15:00-04:00,2025-10-30 00:05:00-04:00,26284.25,26306.25,10,385.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26335.89),overnight
2025-10-30 16:20:00-04:00,2025-10-31 01:50:00-04:00,26019.25,26166.0,7,2016.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26168.02),overnight
2025-10-31 02:05:00-04:00,2025-10-31 02:50:00-04:00,26172.0,26156.0,10,-375.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26168.02),overnight
2025-10-31 03:35:00-04:00,2025-10-31 04:10:00-04:00,26198.0,26160.0,10,-815.0,Long entry: UT Bot buy signal,Hard stop hit at 26171.03,overnight
2025-10-31 04:30:00-04:00,2025-10-31 04:35:00-04:00,26177.5,26166.25,10,-280.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26171.82),overnight
2025-10-31 06:35:00-04:00,2025-10-31 08:40:00-04:00,26188.25,26219.5,10,570.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26220.21),overnight
2025-11-02 18:10:00-05:00,2025-11-02 21:35:00-05:00,26070.75,26073.5,10,0.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26075.32),overnight
2025-11-03 00:35:00-05:00,2025-11-03 00:45:00-05:00,26085.5,26068.0,10,-405.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26075.32),overnight
2025-11-03 03:45:00-05:00,2025-11-03 09:25:00-05:00,26080.75,26235.5,10,3040.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-11-04 06:20:00-05:00,2025-11-04 07:00:00-05:00,25766.0,25736.25,10,-650.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25759.85),overnight
2025-11-05 06:45:00-05:00,2025-11-05 09:25:00-05:00,25473.0,25542.0,10,1325.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-11-06 00:25:00-05:00,2025-11-06 00:30:00-05:00,25725.5,25719.75,10,-170.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25726.57),overnight
2025-11-06 04:15:00-05:00,2025-11-06 09:00:00-05:00,25734.0,25744.75,10,160.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25764.47),overnight
2025-11-07 00:10:00-05:00,2025-11-07 03:30:00-05:00,25294.5,25290.25,10,-140.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25290.77),overnight
2025-11-07 03:45:00-05:00,2025-11-07 04:00:00-05:00,25316.75,25289.75,10,-595.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25290.77),overnight
2025-11-12 00:05:00-05:00,2025-11-12 03:00:00-05:00,25725.25,25768.0,10,800.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25772.93),overnight
